accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC,spectral_file_types
PXD016554,32201362.0,,230,Saccharomyces cerevisiae (baker's yeast); Homo sapiens (human),4932; 9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD009783,32138363.0,PMC7140434,314,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD017620,32332106.0,PMC7338081,280,Saccharomyces cerevisiae (baker's yeast),4932,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD016963,32250121.0,PMC7199212,77,Escherichia coli; Homo sapiens (human),562; 9606,Chemical cross-linking coupled with mass spectrometry proteomics,NO-CC CODE,False,False,RAW
PXD015863,32380061.0,PMC7263428,28,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,False,False,RAW;ZIP
PXD012350,30735346.0,PMC6943928,24,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics; Gel-based experiment,author_manuscript,False,False,RAW
PXD017128,32144388.0,PMC7060178,13,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,MGF;RAW
PXD015435,32561732.0,PMC7305180,211,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD018771,32994567.0,PMC7534832,122,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,NO-CC CODE,False,False,RAW
PXD019926,32643919.0,,235,Equus caballus (horse); Gallus gallus (chicken); Homo sapiens (human); Bos taurus (bovine),9796; 9031; 9606; 9913,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD020119,32753727.0,PMC7403387,12,Macaca mulatta (rhesus macaque),9544,Shotgun proteomics,CC BY,False,False,RAW
PXD018580,,,47,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD017244,,,36,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD010111,33264611.0,PMC8908386,32,Homo sapiens (human); Mus musculus (mouse),9606; 10090,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY-NC-ND,False,False,RAW
PXD022279,33470097.0,PMC8849040,25,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,False,False,MS2;MZXML;RAW
PXD023022,33637534.0,PMC7909872,12,Arabidopsis thaliana (mouse-ear cress),3702,Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY-NC,False,False,RAW
PXD022690,33915260.0,PMC8214149,71,Saccharomyces cerevisiae (baker's yeast); Bos taurus (bovine),4932; 9913,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD022675,,,123,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD019771,34142657.0,PMC8245127,18,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,MGF;RAW
PXD026790,,,48,Sus scrofa domesticus (domestic pig),9825,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD012788,,,57,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics,,False,False,RAW
PXD019338,32719457.0,PMC7483821,65,Human immunodeficiency virus 1; Homo sapiens (human),11676; 9606,Chemical cross-linking coupled with mass spectrometry proteomics,NO-CC CODE,False,False,MGF;RAW
PXD027611,,,26,Mus musculus (mouse),10090,Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
