accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC,spectral_file_types
PXD017443,32404488.0,PMC8011570,0,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,False,False,ZIP
PXD017444,32404488.0,PMC8011570,0,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,False,False,ZIP
PXD013382,32404488.0,PMC8011570,0,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,False,False,ZIP
PXD018083,32661310.0,PMC7359353,0,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False,SCAN;WIFF
PXD016778,32461364.0,,20,Amblyomma cajennense,34607,Shotgun proteomics,,False,False,RAW
PXD013171,32407090.0,PMC8112159,12,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,False,False,RAW
PXD016793,32714562.0,PMC7374720,24,Rattus norvegicus (rat),10116,Shotgun proteomics,CC BY,False,False,RAW
PXD009433,32336009.0,PMC7266272,16,Homo sapiens (human),9606,SRM/MRM; Shotgun proteomics,CC BY,False,False,RAW
PXD018357,32877642.0,PMC7418786,28,Homo sapiens (human),9606,Shotgun proteomics,NO-CC CODE,False,False,RAW
PXD011598,32471912.0,,13,Neurospora crassa or74a,367110,Shotgun proteomics,,False,False,RAW
PXD013809,32539747.0,PMC7294662,24,Homo sapiens (human),9606,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAR;RAW
PXD019204,32390412.0,PMC8052992,6,Homo sapiens (human),9606,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,author_manuscript,False,False,RAW
PXD016126,32371984.0,PMC7200701,10,Homo sapiens (human),9606,Top-down proteomics,CC BY,False,False,RAW;ZIP
PXD017604,32370915.0,,20,Trichinella pseudospiralis,6337,Shotgun proteomics,,False,False,MGF;RAW
PXD017934,32376616.0,PMC8015009,10,Campylobacter jejuni subsp. jejuni nctc 11168 = atcc 700819,192222,SWATH MS; Shotgun proteomics,CC BY,False,False,GZ;MZML;RAW;SCAN;WIFF
PXD015863,32380061.0,PMC7263428,28,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,False,False,RAW;ZIP
PXD015285,32385295.0,PMC7210949,28,Arabidopsis thaliana (mouse-ear cress),3702,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,MZML;RAW
PXD015652,32381088.0,PMC7206797,9,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False,RAW
PXD017586,32393901.0,PMC7468568,18,Homo sapiens (human),9606,HDMSE,author_manuscript,False,False,RAW
PXD015039,32387766.0,,70,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,,False,False,GZ;MGF;RAW
PXD018326,32694662.0,,7,Mus musculus (mouse),10090,Shotgun proteomics,,False,False,RAW
