source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S7	Mus musculus	not available	not available	not available	31	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S5	Mus musculus	not available	not available	not available	32	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S3	Mus musculus	not available	not available	not available	33	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S6	Mus musculus	not available	not available	not available	34	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S8	Mus musculus	not available	not available	not available	35	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S2	Mus musculus	not available	not available	not available	36	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S2	Mus musculus	not available	not available	not available	37	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S1	Mus musculus	not available	not available	not available	38	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S5	Mus musculus	not available	not available	not available	39	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S3	Mus musculus	not available	not available	not available	40	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
