pxd	has_sdrf	raw_count	proteome_context	material_type_match	has_crosslinker	model_organism	scale_ok	taxids	passes
PXD025843	True	22	False	False	True	True	True	4932	False
PXD025903	True	14	True	False	False	True	True	9606	False
PXD025923	True	72	True	False	True	True	True	9606	True
PXD025980	True	18	True	False	True	True	True	9606	True
PXD026017	True	8	False	False	True	True	False	562;10116	False
PXD026037	True	2	False	False	True	True	False	4932;9606;9796;9913	False
PXD026196	True	15	True	False	False	True	True	7227;10116	False
PXD026229	True	38	True	False	False	True	True	10090;10116	False
PXD026244	True	413	False	False	True	True	True	4932	False
PXD026433	True	61	True	False	True	True	True	3055;10116	True
PXD026508	True	4	True	False	False	True	False	9606	False
PXD026603	True	12	False	False	False	True	True	9606	False
PXD026696	True	0	False	False	False	True	False	9606	False
PXD026718	True	2	True	False	False	True	False	10090;10116	False
PXD026790	True	48	True	False	True	True	True	9606;9823;9825;10116	True
PXD026793	True	37	False	False	False	True	True	9606;10090;10116	False
PXD026861	True	6	False	False	False	True	False	9606	False
PXD026926	True	12	True	False	False	True	True	9606	False
PXD026935	True	12	False	False	True	True	True	4932	False
PXD027068	True	440	True	False	False	True	True	6239;10116	False
PXD027128	True	6	True	False	True	True	False	4932;9606	False
PXD027149	True	18	True	False	True	True	True	9606	True
PXD027159	True	5	False	False	True	False	False	1438992	False
PXD027161	True	0	False	False	False	False	False	9913	False
PXD027188	True	67	False	False	True	True	True	9606	False
PXD027189	True	6	False	False	False	True	False	9606	False
PXD027213	True	24	False	False	True	True	True	9606	False
PXD027234	True	0	True	False	False	True	False	562;9606;9913	False
PXD027239	True	24	True	False	True	True	True	9606	True
PXD027267	True	130	True	False	False	True	True	4932	False
PXD027349	True	28	False	False	True	True	True	9606;10116	False
PXD027394	True	60	True	False	True	True	True	9606	True
PXD027413	True	6	False	False	True	True	False	4932;9606	False
PXD027488	True	41	True	False	False	True	True	10090;10116	False
PXD027565	True	6	False	False	True	True	False	9606;10116	False
PXD027611	True	26	True	False	True	True	True	10090;10116	True
PXD027757	True	101	False	False	False	True	True	10090;10116	False
PXD027759	True	0	True	False	False	True	False	9606	False
PXD027891	True	32	False	False	True	False	True	9031;9913;9986	False
PXD027905	True	8	True	False	False	True	False	9606	False
PXD027917	True	55	True	False	False	True	True	9606	False
PXD027953	True	47	True	False	True	True	True	4932;10116	True
PXD027954	True	54	True	False	True	True	True	9606	True
PXD027998	True	9	True	False	False	True	False	6239;10116	False
PXD028002	True	104	False	False	True	True	True	4932	False
PXD028005	True	8	False	False	True	True	False	4932;10116	False
PXD028063	True	77	True	False	False	True	True	10090;10116	False
PXD028150	True	27	True	False	False	True	True	9606	False
PXD028313	True	12	False	False	True	True	True	9606;10116	False
PXD028415	True	12	False	False	True	True	True	9606;10116	False
PXD028433	True	3	False	False	True	True	False	9606;10116	False
PXD028462	True	10	True	False	True	True	False	9606	False
PXD028879	True	57	True	False	False	True	True	4932	False
PXD028980	True	9	True	False	False	True	False	9598;9606	False
PXD029033	True	86	True	False	True	True	True	9606;10090;10116	True
PXD029034	True	99	True	False	True	True	True	9606;10090	True
PXD029091	True	12	True	False	True	True	True	9606	True
PXD029252	True	84	True	False	True	True	True	562;9606	True
PXD029257	True	78	False	False	False	True	True	562;1351;2242;3702;3708;3715;3818;3827;4097;4513;5476;6239;7029;7091;7227;7460;7634;7955;7998;8049;9031;9534;9544;9606;9796;9913;10036;10090;10116;31646;44689;79698;85963	False
PXD029350	True	39	True	False	False	True	True	9606	False
PXD029365	True	0	False	False	False	False	False	562	False
PXD029505	True	54	False	False	True	True	True	9606	False
PXD029591	True	48	True	False	True	True	True	9606;10116	True
PXD029675	True	5	False	False	True	True	False	562;10116;99287	False
PXD029748	True	36	True	False	False	True	True	9606	False
PXD029749	True	1	True	False	True	True	False	9606	False
PXD029781	True	4	True	False	True	True	False	10116	False
PXD029833	True	87	True	False	True	True	True	3702;10090	True
PXD029930	True	96	False	False	False	True	True	9606	False
PXD029944	True	15	True	False	True	True	True	9606	True
PXD029960	True	12	True	False	False	True	True	9606	False
PXD030048	True	36	False	False	False	True	True	3702	False
PXD030063	True	21	True	False	True	True	True	9606;10116	True
PXD030072	True	42	True	False	False	True	True	9606	False
PXD030209	True	0	True	False	False	False	False	562	False
PXD030274	True	23	False	False	True	True	True	9606	False
PXD030299	True	22	False	False	True	True	True	9606	False
PXD030429	True	39	True	False	False	False	True	3197	False
PXD030495	True	0	False	False	False	True	False	10116	False
PXD030532	True	180	False	False	True	True	True	9606	False
PXD030543	True	8	False	False	True	True	False	10090;10116	False
PXD030578	True	33	False	False	False	True	True	9606	False
PXD030590	True	24	False	False	True	True	True	9606	False
PXD030619	True	136	False	False	True	True	True	10116	False
PXD030849	True	0	False	False	False	True	False	9606	False
PXD030864	True	32	True	False	False	True	True	10090;10116	False
PXD030970	True	9	True	False	False	True	False	9606	False
PXD031033	True	6	False	False	True	True	False	4932	False
PXD031054	True	102	True	False	True	True	True	9606	True
PXD031096	True	4	False	False	True	False	False	652611	False
PXD031114	True	112	True	False	True	True	True	2;562;9606;10116	True
PXD031159	True	33	True	False	True	True	True	562;9606	True
PXD031197	True	0	True	False	False	True	False	9606	False
PXD031214	True	2	False	False	True	True	False	562;9606;10116	False
PXD031215	True	28	False	False	True	True	True	4932;10116	False
PXD031339	True	6	False	False	True	True	False	562;9606;10116	False
PXD031345	True	132	True	False	True	True	True	10090;10116	True
PXD031381	True	74	False	False	False	True	True	9606	False
PXD031411	True	9	False	False	True	True	False	9606	False
PXD031415	True	181	True	False	False	True	True	9606	False
PXD031421	True	12	False	False	True	True	True	9606	False
