pxd	pid	log_file	status_file	command
PXD005612	3125392	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005612.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005612.exit	python src/main.py --pxd PXD005612 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD005657	3125477	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005657.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005657.exit	python src/main.py --pxd PXD005657 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD005758	3125556	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005758.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005758.exit	python src/main.py --pxd PXD005758 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD005943	3125566	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005943.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005943.exit	python src/main.py --pxd PXD005943 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD005948	3125636	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD005948.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD005948.exit	python src/main.py --pxd PXD005948 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006079	3125673	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006079.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006079.exit	python src/main.py --pxd PXD006079 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006131	3125768	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006131.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006131.exit	python src/main.py --pxd PXD006131 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006156	3125793	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006156.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006156.exit	python src/main.py --pxd PXD006156 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006200	3126048	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006200.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006200.exit	python src/main.py --pxd PXD006200 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006245	3126088	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006245.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006245.exit	python src/main.py --pxd PXD006245 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006246	3126230	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006246.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006246.exit	python src/main.py --pxd PXD006246 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006287	3126311	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006287.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006287.exit	python src/main.py --pxd PXD006287 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006359	3126407	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006359.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006359.exit	python src/main.py --pxd PXD006359 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006541	3126417	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006541.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006541.exit	python src/main.py --pxd PXD006541 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006707	3126513	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006707.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006707.exit	python src/main.py --pxd PXD006707 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006715	3126522	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006715.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006715.exit	python src/main.py --pxd PXD006715 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006816	3126590	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006816.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006816.exit	python src/main.py --pxd PXD006816 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006928	3126726	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006928.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006928.exit	python src/main.py --pxd PXD006928 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD006938	3126884	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD006938.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD006938.exit	python src/main.py --pxd PXD006938 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD007043	3126948	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD007043.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD007043.exit	python src/main.py --pxd PXD007043 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD007185	3127024	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD007185.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD007185.exit	python src/main.py --pxd PXD007185 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD007250	3127034	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD007250.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD007250.exit	python src/main.py --pxd PXD007250 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD007513	3127082	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD007513.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD007513.exit	python src/main.py --pxd PXD007513 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD007673	3127199	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD007673.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD007673.exit	python src/main.py --pxd PXD007673 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD007695	3127326	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD007695.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD007695.exit	python src/main.py --pxd PXD007695 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD007836	3127505	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD007836.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD007836.exit	python src/main.py --pxd PXD007836 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD007862	3127875	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD007862.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD007862.exit	python src/main.py --pxd PXD007862 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD007928	3127970	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD007928.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD007928.exit	python src/main.py --pxd PXD007928 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008122	3128078	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008122.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008122.exit	python src/main.py --pxd PXD008122 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008161	3128195	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008161.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008161.exit	python src/main.py --pxd PXD008161 --config configs/config.yaml --no-download --nproc 1 --verbose
